"developer_name","ku_vector.K1","ku_vector.K10","ku_vector.K11","ku_vector.K12","ku_vector.K13","ku_vector.K14","ku_vector.K15","ku_vector.K16","ku_vector.K17","ku_vector.K18","ku_vector.K19","ku_vector.K2","ku_vector.K20","ku_vector.K21","ku_vector.K22","ku_vector.K23","ku_vector.K24","ku_vector.K25","ku_vector.K26","ku_vector.K27","ku_vector.K3","ku_vector.K4","ku_vector.K5","ku_vector.K6","ku_vector.K7","ku_vector.K8","ku_vector.K9","organization","repo_name"
"이현수",1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,"eclipse-collections"
"aboyko",1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"lsp4e"
"Achim Kraus",1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,"eclipse","californium.tools"
"Adam Wendelin",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,NA,"org.eclipse.tracecompass"
"Aditi Srinivas",1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,NA,"openj9"
"Adriano Machado",1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,NA,"camel"
"ahmedneilhussain",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,NA,"lsp4e"
"Alberto Codutti",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,"kapua"
"Alejandro Navarro",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"eclipse.platform.ui"
"Aleksandar Evstatiev",1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"dirigible"
"Aleksandar Kurtakov",1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"eclipse.platform"
"Aleksandar Kurtakov",1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,NA,"eclipse.platform.swt"
"Aleksandar Kurtakov",1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,NA,"eclipse.platform.ui"
"Aleksandar Kurtakov",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,NA,"egit"
"Aleksandar Kurtakov",1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"tycho"
"Aleksandar Micic",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,NA,"openj9"
"Aleksandar Zlatkovski",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,NA,"dirigible"
"Alexander Kononov",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"eclipse.platform.ui"
"Alexander Manalad",1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"eclipse.platform"
"Alexandr Miloslavskiy",1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,NA,"eclipse.platform.swt"
"Alex Boyko",1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,NA,"lsp4e"
"Alexis SEGURA",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,NA,"camel"
"allebaton",1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,NA,"jersey"
"Amarpreet Singh",1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,NA,"openj9"
"Amartya Parijat",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,NA,"eclipse.platform.swt"
"Amartya Parijat",1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"eclipse.platform.ui"
"amvanbaren",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,"openvsx"
"Anatolii Bazko",1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,NA,"che-server"
"Andrea Cosentino",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,"camel"
"Andreas Dangel",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,NA,"pmd-eclipse-plugin"
"Andreas Koch",1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,NA,"eclipse.platform.swt"
"Andreas Koch",1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,"eclipse.platform.ui"
"Andreas Koch",1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"egit"
"Andreas Schwarz",1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,"tycho"
"Andrea Tarocchi",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,NA,"camel"
"andrei-cristea",1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"keyple-plugin-pcsc-java-lib"
"andrei-cristea",1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,NA,"keyple-service-java-lib"
"Andrei Cristea",1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,NA,"keyple-service-java-lib"
"Andrej Vaňo",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,NA,"camel"
"Andrew Lamb",1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,"lsp4e"
"andrewL-avlq",1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,NA,"lsp4e"
"Andrey Loskutov",1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,NA,"eclipse.jdt.debug"
"Andrey Loskutov",1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"eclipse.platform"
"Andrey Loskutov",1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,NA,"eclipse.platform.releng.buildtools"
"Andrey Loskutov",1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"eclipse.platform.swt"
"Andrey Loskutov",1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,NA,"eclipse.platform.ui"
"Andrey Loskutov",1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,NA,"egit"
"Andrey Loskutov",1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,"lsp4e"
"angelo.andreussi",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,"kapua"
"anirudh-04",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,NA,"camel"
"Anirudh Prakash",1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,NA,"camel"
"Anton Hrabianets",1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,NA,"camel"
"Antonin Delpeuch",1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,"jgit"
